id,type,name,status,description,epic,startDate,duration
b24e2887-2da8-41d8-800a-920117318c8a,TASK,Task-1,NEW,New Task-1,null,2022-01-01T00:00,1440
824456ce-0007-4cd3-98b8-221b092934d5,EPIC,Epic-1,IN_PROGRESS,Test Epic,null,2022-01-04T00:00,4320
cfda63dd-ce0c-421b-9997-8581eb5411f1,SUBTASK,Subtask-1,NEW,Test Subtask-1,824456ce-0007-4cd3-98b8-221b092934d5,2022-01-02T00:00,1440
f79639a2-3a45-4042-a801-fe22789d4168,SUBTASK,Subtask-2,DONE,Test Subtask-2,824456ce-0007-4cd3-98b8-221b092934d5,2022-01-03T00:00,1440
31f234b6-f645-4144-b6b9-67ed434fae94,SUBTASK,Subtask-3,IN_PROGRESS,Test Subtask-3,824456ce-0007-4cd3-98b8-221b092934d5,2022-01-04T00:00,1440

31f234b6-f645-4144-b6b9-67ed434fae94,SUBTASK,Subtask-3,IN_PROGRESS,Test Subtask-3,824456ce-0007-4cd3-98b8-221b092934d5,2022-01-04T00:00,1440
f79639a2-3a45-4042-a801-fe22789d4168,SUBTASK,Subtask-2,DONE,Test Subtask-2,824456ce-0007-4cd3-98b8-221b092934d5,2022-01-03T00:00,1440
cfda63dd-ce0c-421b-9997-8581eb5411f1,SUBTASK,Subtask-1,NEW,Test Subtask-1,824456ce-0007-4cd3-98b8-221b092934d5,2022-01-02T00:00,1440
824456ce-0007-4cd3-98b8-221b092934d5,EPIC,Epic-1,IN_PROGRESS,Test Epic,null,2022-01-04T00:00,4320
b24e2887-2da8-41d8-800a-920117318c8a,TASK,Task-1,NEW,New Task-1,null,2022-01-01T00:00,1440
